index,DEPTH,DT,GR,NPHI,PEF,RHOB,WELL
291,217.6,73.6136,6.501,,,,15/9-F-11 B
292,217.7,73.6136,6.901,,,,15/9-F-11 B
293,217.8,73.6136,7.399,,,,15/9-F-11 B
294,217.9,73.6136,7.198,,,,15/9-F-11 B
295,218.0,73.6136,6.501,,,,15/9-F-11 B
296,218.1,73.6136,6.7,,,,15/9-F-11 B
297,218.2,73.6136,6.801,,,,15/9-F-11 B
298,218.3,73.6136,7.205,,,,15/9-F-11 B
299,218.4,73.6136,9.01,,,,15/9-F-11 B
300,218.5,73.6136,12.702,,,,15/9-F-11 B
301,218.6,73.6136,13.6,,,,15/9-F-11 B
302,218.7,73.6136,13.598,,,,15/9-F-11 B
303,218.8,73.6136,12.993,,,,15/9-F-11 B
304,218.9,73.6136,10.397,,,,15/9-F-11 B
305,219.0,73.6136,9.301,,,,15/9-F-11 B
306,219.1,73.6136,9.708,,,,15/9-F-11 B
307,219.2,73.6136,12.704,,,,15/9-F-11 B
308,219.3,73.6136,14.2,,,,15/9-F-11 B
309,219.4,73.6136,14.302,,,,15/9-F-11 B
310,219.5,73.6136,14.902,,,,15/9-F-11 B
311,219.6,73.6136,15.497,,,,15/9-F-11 B
312,219.7,73.6136,14.499,,,,15/9-F-11 B
313,219.8,73.6136,14.198,,,,15/9-F-11 B
314,219.9,73.6136,13.5,,,,15/9-F-11 B
315,220.0,73.6136,13.401,,,,15/9-F-11 B
316,220.1,73.6136,13.701,,,,15/9-F-11 B
317,220.2,73.6136,14.102,,,,15/9-F-11 B
318,220.3,73.6136,14.903,,,,15/9-F-11 B
319,220.4,73.6136,15.901,,,,15/9-F-11 B
320,220.5,73.6136,16.401,,,,15/9-F-11 B
321,220.6,73.6136,16.701,,,,15/9-F-11 B
322,220.7,73.6136,16.901,,,,15/9-F-11 B
323,220.8,73.6136,17.102,,,,15/9-F-11 B
324,220.9,73.6136,17.901,,,,15/9-F-11 B
325,221.0,73.6136,18.299,,,,15/9-F-11 B
326,221.1,73.6136,17.798,,,,15/9-F-11 B
327,221.2,73.6136,16.896,,,,15/9-F-11 B
328,221.3,73.6136,15.595,,,,15/9-F-11 B
329,221.4,73.6136,13.798,,,,15/9-F-11 B
330,221.5,73.6136,12.898,,,,15/9-F-11 B
331,221.6,73.6136,12.198,,,,15/9-F-11 B
332,221.7,73.6136,11.498,,,,15/9-F-11 B
333,221.8,73.6136,10.702,,,,15/9-F-11 B
334,221.9,73.6136,11.302,,,,15/9-F-11 B
335,222.0,73.6136,12.0,,,,15/9-F-11 B
336,222.1,73.6136,12.001,,,,15/9-F-11 B
337,222.2,73.6136,12.3,,,,15/9-F-11 B
338,222.3,73.6136,12.401,,,,15/9-F-11 B
339,222.4,73.6136,12.901,,,,15/9-F-11 B
340,222.5,73.6136,13.301,,,,15/9-F-11 B
341,222.6,73.6136,13.599,,,,15/9-F-11 B
342,222.7,73.6136,13.398,,,,15/9-F-11 B
343,222.8,73.6136,12.597,,,,15/9-F-11 B
344,222.9,73.6136,11.498,,,,15/9-F-11 B
345,223.0,73.6136,10.799,,,,15/9-F-11 B
346,223.1,73.6136,10.399,,,,15/9-F-11 B
347,223.2,73.6136,10.201,,,,15/9-F-11 B
348,223.3,73.6136,10.601,,,,15/9-F-11 B
349,223.4,73.6136,11.001,,,,15/9-F-11 B
350,223.5,73.6136,11.401,,,,15/9-F-11 B
351,223.6,73.6136,11.701,,,,15/9-F-11 B
352,223.7,73.6136,12.101,,,,15/9-F-11 B
353,223.8,73.6136,12.6,,,,15/9-F-11 B
354,223.9,73.6136,12.499,,,,15/9-F-11 B
355,224.0,73.6136,12.197,,,,15/9-F-11 B
356,224.1,73.6136,11.198,,,,15/9-F-11 B
357,224.2,73.6136,10.499,,,,15/9-F-11 B
358,224.3,73.6136,10.299,,,,15/9-F-11 B
359,224.4,73.6136,9.798,,,,15/9-F-11 B
360,224.5,73.6136,8.901,,,,15/9-F-11 B
361,224.6,73.6136,9.198,,,,15/9-F-11 B
362,224.7,73.6136,8.5,,,,15/9-F-11 B
363,224.8,73.6136,8.4,,,,15/9-F-11 B
364,224.9,73.6136,8.302,,,,15/9-F-11 B
365,225.0,73.6136,9.2,,,,15/9-F-11 B
366,225.1,73.6136,9.3,,,,15/9-F-11 B
367,225.2,73.6136,9.204,,,,15/9-F-11 B
368,225.3,73.6136,10.605,,,,15/9-F-11 B
369,225.4,73.6136,12.404,,,,15/9-F-11 B
370,225.5,73.6136,13.802,,,,15/9-F-11 B
371,225.6,73.6136,14.602,,,,15/9-F-11 B
372,225.7,73.6136,15.301,,,,15/9-F-11 B
373,225.8,73.6136,15.699,,,,15/9-F-11 B
374,225.9,73.6136,15.301,,,,15/9-F-11 B
375,226.0,73.6136,15.7,,,,15/9-F-11 B
376,226.1,73.6136,15.601,,,,15/9-F-11 B
377,226.2,73.6136,15.802,,,,15/9-F-11 B
378,226.3,73.6136,16.502,,,,15/9-F-11 B
379,226.4,73.6136,17.2,,,,15/9-F-11 B
380,226.5,73.6136,17.201,,,,15/9-F-11 B
381,226.6,73.6136,17.499,,,,15/9-F-11 B
382,226.7,73.6136,17.198,,,,15/9-F-11 B
